,IForest,KNN,CBLOF,PCA,ECOD,GPLVM
17_InternetAds,0.5287968649450724,0.25414100718261373,0.3040228663439266,0.30301250815701897,0.5522195170760706,0.30505855292327416
18_Ionosphere,0.8188071332860236,0.8901995320048578,0.9076178430304028,0.7639992438965196,0.6581628488314497,0.9238263389753872
19_landsat,0.191617248258721,0.24913328361464782,0.26143595739479386,0.16519397571971542,0.1649024770046253,0.2246232977125534
20_letter,0.08786797093318685,0.2551077720341146,0.18193588598703928,0.08951055982114986,0.08605853616754783,0.24885401803913282
21_Lymphography,0.9495798319327731,0.13714285714285715,0.9621848739495797,0.9857142857142855,0.8373015873015872,0.31354915260609983
22_magic.gamma,0.6357917857711244,0.7155980311010923,0.6483803284804908,0.5685550522714623,0.5083718627412777,0.621631476816319
23_mammography,0.18935415740485567,0.18727195135871322,0.12242883353907612,0.20550021393960452,0.4149006654545686,0.14683341083304416
24_mnist,0.27205933312066893,0.4619621273622903,0.4516722341406723,0.44072801116236326,0.1955789440204702,0.43527265414214006
25_musk,0.9999999999999998,0.28858720689564293,0.9999999999999998,0.9999999999999998,0.5829916451995415,0.9999999999999998
26_optdigits,0.07675915031885046,0.0214642589689316,0.06556995770651108,0.02746068876127523,0.034623781915132455,0.02702034001408711
27_PageBlocks,0.46910987249823993,0.42098748874682057,0.6159412471412822,0.48271184292655755,0.5371938043671699,0.5586274015895887
28_pendigits,0.26074609226075807,0.07987658887550982,0.31527762831388,0.18733552726857558,0.2142261522312126,0.09740198625345095
29_Pima,0.5178585275091078,0.522381127361419,0.483662991341191,0.48724912309587454,0.48683095480214045,0.4910808120844216
30_satellite,0.6602752827441751,0.5348554113840223,0.5882060917802067,0.6188274973049814,0.5444245747045231,0.5501931433111824
31_satimage-2,0.9484341949130684,0.30094294360104024,0.9633699633699635,0.8438006604640991,0.7071950983501841,0.36210946800930743
32_shuttle,0.9687575323205561,0.21948420567373622,0.19552473624450475,0.9442075994793915,0.9046167300892309,0.6528299607864237
33_skin,0.2440689691333966,0.29439530332048325,0.284386934353596,0.1761137898375015,0.18801971740914297,0.2993224876886814
34_smtp,0.0008613264427217916,0.0012165450121654502,0.0008169934640522876,0.00041339396444811904,0.000757002271006813,0.0
35_SpamBase,0.5104104193522866,0.4081828234189942,0.4004152657945611,0.41358130220386213,0.543220028773348,0.4085972658587005
36_speech,0.01601341200850881,0.01803551451989855,0.016671706270216115,0.01735420269830215,0.017334445598631343,0.01720135083167794
37_Stamps,0.4206917490343709,0.347371001876937,0.21108264111729474,0.45578931532521877,0.38228868187028725,0.3504017842315596
38_thyroid,0.5514021768144527,0.3866410088637905,0.30692225354096264,0.4332719265973723,0.5526663530612685,0.4538944794259775
39_vertebral,0.11862436507992277,0.11510131932355583,0.11977987187115519,0.11675503244506832,0.13778714708513706,0.10802651674350874
40_vowels,0.38967530006993234,0.6115113541429331,0.2249877645726792,0.12728588465238455,0.16246935200132734,0.44198675262338705
41_Waveform,0.04741802130408988,0.15871180596614487,0.2272602538960123,0.03623494313180341,0.0314599071145199,0.06450762438367397
42_WBC,0.9261538461538461,0.7362004662004662,0.5819195424458583,0.9230769230769229,0.9023378582202111,0.680376537056699
43_WDBC,0.7270833333333334,0.2940247252747253,0.6752380952380953,0.7548039215686274,0.5626984126984127,0.36080694159641535
44_Wilt,0.04278310399012467,0.05879558517155445,0.03913674243439554,0.030157135337733065,0.03794131307537722,0.03608897762120155
45_wine,0.238573978143703,0.07964948452920022,0.054213291248130964,0.25374345390330044,0.21738048799401014,0.07491995153013273
46_WPBC,0.26624326023731304,0.23033549389082553,0.23338775429772848,0.2656140123731669,0.23916383448289844,0.24264905102139062
47_yeast,0.33324819218406687,0.31892378928468357,0.3352643899928212,0.3162449036111324,0.365280329578339,0.29958623998778455
