,IForest,KNN,CBLOF,PCA,ECOD,GPLVM
26_optdigits,0.8605555555555555,0.9512865497076024,0.8421929824561404,0.5804678362573099,0.6555994152046783,0.8930555555555555
27_PageBlocks,0.91429208771108,0.9419705993887886,0.9186241049320751,0.9221129179772023,0.9265921613241429,0.9274710566820585
28_pendigits,0.9799171755160685,0.9994823469754273,0.9663631177502165,0.9396670117686831,0.9335608189482136,0.9776986625536142
29_Pima,0.7413200329281875,0.7686310590286184,0.7288751150065372,0.7030652268655272,0.6543993026972059,0.7027746840346715
30_satellite,0.8243478153052621,0.880427019788722,0.8824195308237861,0.6726615582998562,0.6365632594355999,0.7892848286465308
31_satimage-2,0.9910575858250277,0.9977297895902547,0.9978405315614618,0.987264673311185,0.9815060908084164,0.9987264673311185
32_shuttle,0.9976944081255831,0.9988439475770932,0.9975169296550243,0.9953725338226745,0.9971375490711689,0.9963120299466425
33_skin,0.8940959892534767,0.9840097632855023,0.9147160801232502,0.6078103626619435,0.5580857688952726,0.8764761023391093
34_smtp,0.6825608536178727,0.7262420806935646,0.5538512837612537,0.11270423474491498,0.5598532844281428,0.0
35_SpamBase,0.8507800573017964,0.6888528138528138,0.6057364535625405,0.7981601731601733,0.7464552355856704,0.6196593261810652
36_speech,0.48401756535947715,0.49121732026143783,0.46497140522875813,0.4706392973856208,0.47023080065359474,0.4701797385620915
37_Stamps,0.965090909090909,0.9723636363636363,0.9466181818181819,0.9585454545454545,0.9472,0.9419636363636363
38_thyroid,0.9898421325051759,0.974896480331263,0.9549689440993789,0.9827251552795032,0.9887745859213252,0.9622153209109731
39_vertebral,0.4970192307692307,0.5979807692307693,0.5006730769230769,0.4536538461538462,0.4719230769230769,0.4031730769230769
40_vowels,0.7849921011058452,0.9669826224328594,0.9,0.6039494470774092,0.5767772511848341,0.9263823064770932
41_Waveform,0.7448654037886342,0.7829843801927551,0.0,0.6097042206713194,0.550116317713526,0.7619474908607511
42_WBC,0.9962476547842402,0.9916912355936747,0.9935674082015545,0.9930313588850174,0.9959796301259716,0.9882069150361834
43_WDBC,0.9962068965517241,0.9913793103448275,0.9958620689655172,0.9955172413793103,0.9958620689655172,0.9948275862068965
44_Wilt,0.45584510449375315,0.6557635206283854,0.3885668750533615,0.18133437052355972,0.35028886380237734,0.31764583115934464
45_wine,0.9352355072463768,0.9891304347826086,0.9373490338164251,0.9276871980676329,0.8442028985507247,0.9995471014492754
46_WPBC,0.5482666666666667,0.6707555555555555,0.5706074074074075,0.5108740740740741,0.5226074074074074,0.8351999999999999
47_yeast,0.4330916577157179,0.4617794486215539,0.5319325098460437,0.45531238811313995,0.486484067311135,0.4349713569638382
