,IForest,KNN,CBLOF,PCA,ECOD,GPLVM
31_satimage-2,0.9300129431439911,0.9561697722567291,0.9624819624819627,0.8625100707662815,0.7821007604563646,0.967306325515281
32_shuttle,0.977956105477349,0.9599174476557565,0.9571327182611912,0.9670071152766816,0.9646601187979793,0.9558576858193443
33_skin,0.5031780649289551,0.8811091916515802,0.5515931192383594,0.23452100967597808,0.21045282713326666,0.4747963797417252
34_smtp,0.001049317943336831,0.0012165450121654502,0.0007468259895444362,0.0003756574004507889,0.000757002271006813,0.0
35_SpamBase,0.8125120287157279,0.5457264959381487,0.4492889472302243,0.7306073175990885,0.6678574588728624,0.4774843577373091
36_speech,0.017154142627868817,0.018553826821340186,0.01672788397982053,0.01744274838216174,0.017352920347367688,0.018288176907465224
37_Stamps,0.5496056465044729,0.6712867021110565,0.4969134552895594,0.5699632705701725,0.5268091484128986,0.5382118447755005
38_thyroid,0.7921773804421999,0.6276767226968647,0.48816967210075135,0.729635774191367,0.7226742614519813,0.5449615267595506
39_vertebral,0.13798922895004856,0.1729512656476717,0.13576760746561917,0.1286954279424406,0.14775901504801342,0.10819845165609115
40_vowels,0.38212990581035233,0.7207244824891883,0.25630322686356044,0.17724739944470164,0.21955057739945272,0.5794842989743922
41_Waveform,0.064965048176931,0.2722965953276828,0.0,0.037720549718332164,0.03213443519749282,0.16101709683648935
42_WBC,0.9461538461538461,0.911172161172161,0.9261538461538461,0.9230769230769229,0.9349334875650666,0.8762000762000761
43_WDBC,0.8830594405594406,0.796969696969697,0.9142857142857143,0.9017857142857143,0.9142857142857143,0.8773260073260073
44_Wilt,0.04472354543673812,0.07075013627530936,0.039988582557373704,0.030405206681736307,0.03846733239882336,0.03589705933780546
45_wine,0.535117812740853,0.8496175554999086,0.49034232185626064,0.503314079449821,0.34274390095404283,0.9947856280193236
46_WPBC,0.2694454513067555,0.3475686238109924,0.28010856779430016,0.27970529739588024,0.26637420937665185,0.6421520387604176
47_yeast,0.32920317360526336,0.3483351136070094,0.3619390471869251,0.32456133639338625,0.36861930979812374,0.316319049629637
