,dataset,kernel,layers,latent_dim,lr,batch_size,n_inducing,n_epochs,auc_roc,auc_pr
53,11_donors,rbf,"5,5",5,0.01,128,100,1000,0.9676828578637361,0.587406992132099
54,12_fault,rbf,"15,15",2,0.01,128,50,1000,0.744770146305969,0.567045713093422
55,12_fault,rbf,"15,15",5,0.01,128,50,1000,0.7398196512564641,0.58542369183496
56,12_fault,rbf,"15,15",10,0.01,128,50,1000,0.7035939814453881,0.547114949757283
57,12_fault,rbf,"15,15",13,0.01,128,10,1000,0.0,0.0
58,12_fault,rbf,"15,15",13,0.01,128,25,1000,0.681141342480704,0.504264909718192
59,12_fault,rbf,"15,15",13,0.01,128,100,1000,0.690223746784127,0.535692610701982
60,13_fraud,rbf,"10,10",2,0.01,128,50,1000,0.9477128547579291,0.133262818246911
61,13_fraud,rbf,"10,10",5,0.01,128,50,1000,0.946110183639399,0.131749645288312
62,13_fraud,rbf,"10,10",10,0.01,128,50,1000,0.945308848080133,0.097512783462688
63,13_fraud,rbf,"10,10",14,0.01,128,10,1000,0.9460434056761261,0.09836299510990401
64,13_fraud,rbf,"10,10",14,0.01,128,25,1000,0.945909849749582,0.09790039747486501
65,13_fraud,rbf,"10,10",14,0.01,128,100,1000,0.945909849749582,0.09790039747486501
66,14_glass,rbf,"10,10",3,0.01,128,10,1000,0.705567788612771,0.250488118003299
67,14_glass,rbf,"10,10",3,0.01,128,25,1000,0.88109468386285,0.354116435555039
68,14_glass,rbf,"10,10",3,0.01,128,100,1000,0.8886442277445731,0.34253052021295605
69,15_Hepatitis,rbf,"10,10,10",9,0.01,128,10,1000,0.8932986849358211,0.5378753350691491
70,15_Hepatitis,rbf,"10,10,10",9,0.01,128,25,1000,0.9381053626269781,0.769116922307668
71,15_Hepatitis,rbf,"10,10,10",9,0.01,128,100,1000,0.868887313961729,0.49714403062136703
72,16_http,rbf,"5,5",1,0.01,128,10,1000,0.9996648793565681,0.8475279673349521
73,16_http,rbf,"5,5",1,0.01,128,25,1000,0.9996648793565681,0.8475279673349521
74,16_http,rbf,"5,5",1,0.01,128,100,1000,0.9996648793565681,0.8475279673349521
75,17_InternetAds,rbf,"10,10",2,0.01,128,50,1000,0.630208333333333,0.30676422595657005
76,17_InternetAds,rbf,"10,10",5,0.01,128,50,1000,0.0,0.0
77,17_InternetAds,rbf,"10,10",10,0.01,128,50,1000,0.0,0.0
78,17_InternetAds,rbf,"10,10",15,0.01,128,10,1000,0.0,0.0
79,17_InternetAds,rbf,"10,10",15,0.01,128,25,1000,0.0,0.0
80,17_InternetAds,rbf,"10,10",15,0.01,128,100,1000,0.0,0.0
